rank,id,kind,dim,verdict,classification,semantic_risk,semantic_risk_flags,root_classes,root_diversity,unique_parents,parent_signature_diversity,paths,provenance_quality,parent_ids,parent_kinds,parent_dimensions,parent_boundary_conditions,parent_symmetry_classes
11,61,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,12,12,275,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""51"",""52"",""66"",""85"",""86"",""88"",""89"",""121"",""122"",""124"",""125""]","[""BUNDLE"",""CYCLE"",""SYMMETRY""]","[""0"",""1""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
12,286,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,12,12,275,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""85"",""86"",""88"",""89"",""121"",""122"",""124"",""125"",""276"",""277"",""291""]","[""CYCLE"",""PRODUCT"",""SYMMETRY""]","[""0"",""1"",""2""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
13,321,PRODUCT,3,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,12,12,100,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""85"",""86"",""88"",""89"",""121"",""122"",""124"",""125"",""266"",""286"",""316""]","[""CYCLE"",""PRODUCT"",""SYMMETRY""]","[""0"",""1"",""2"",""3""]","[""∅""]","[""∅"",""S+a""]"
14,327,PRODUCT,3,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,12,12,100,SNAPSHOT_IDENTIFIER_ONLY,"[""94"",""95"",""97"",""98"",""130"",""131"",""133"",""134"",""135"",""271"",""291"",""292""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""∅""]","[""S-a""]"
15,205,WEIGHT,1,VARIANT,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,11,11,25,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""46"",""94"",""95"",""97"",""98"",""191"",""192"",""194"",""195"",""200""]","[""BUNDLE"",""CYCLE"",""SYMMETRY"",""WEIGHT""]","[""0"",""1""]","[""∅""]","[""∅"",""S-a"",""S+a""]"
16,325,PRODUCT,3,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,10,10,95,SNAPSHOT_IDENTIFIER_ONLY,"[""85"",""86"",""88"",""89"",""121"",""122"",""124"",""125"",""266"",""286""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""∅""]","[""S+a""]"
17,200,WEIGHT,1,VARIANT,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,10,10,25,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""41"",""85"",""86"",""88"",""89"",""191"",""192"",""194"",""195""]","[""BUNDLE"",""CYCLE"",""SYMMETRY"",""WEIGHT""]","[""0"",""1""]","[""∅""]","[""∅"",""S+a""]"
18,238,BUNDLE,2,VARIANT,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,9,9,55,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""94"",""95"",""97"",""98"",""232"",""271"",""291"",""292""]","[""BUNDLE"",""CYCLE"",""PRODUCT"",""SYMMETRY""]","[""0"",""1"",""2""]","[""∅""]","[""∅"",""S-a""]"
19,220,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,9,9,21,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""61"",""121"",""122"",""124"",""125"",""210"",""211"",""225""]","[""BUNDLE"",""CYCLE"",""SYMMETRY"",""WEIGHT""]","[""0"",""1""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
20,243,BUNDLE,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,8,8,80,SNAPSHOT_IDENTIFIER_ONLY,"[""130"",""131"",""133"",""134"",""135"",""271"",""291"",""292""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""∅""]","[""S-a""]"
21,237,BUNDLE,2,VARIANT,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,8,8,55,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""85"",""86"",""88"",""89"",""232"",""266"",""286""]","[""BUNDLE"",""CYCLE"",""PRODUCT"",""SYMMETRY""]","[""0"",""1"",""2""]","[""∅""]","[""∅"",""S+a""]"
22,228,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,7,7,9,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""67"",""133"",""210"",""211"",""220"",""225""]","[""BUNDLE"",""CYCLE"",""SYMMETRY"",""WEIGHT""]","[""0"",""1""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
23,241,BUNDLE,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,6,6,75,SNAPSHOT_IDENTIFIER_ONLY,"[""121"",""122"",""124"",""125"",""266"",""286""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""∅""]","[""S+a""]"
24,180,INTEGER,1,VARIANT,REQUIRES_PROVENANCE,MEDIUM,"[""heterogeneous_parent_kinds"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,5,5,17,SNAPSHOT_IDENTIFIER_ONLY,"[""61"",""121"",""122"",""124"",""125""]","[""BUNDLE"",""CYCLE""]","[""1""]","[""∅""]","[""S+a""]"
25,185,INTEGER,1,VARIANT,REQUIRES_PROVENANCE,MEDIUM,"[""heterogeneous_parent_kinds"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,5,5,16,SNAPSHOT_IDENTIFIER_ONLY,"[""66"",""130"",""131"",""134"",""135""]","[""BUNDLE"",""CYCLE""]","[""1""]","[""∅""]","[""S-a""]"
